#edges
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
e06, 317.9761576, 305.9830217, 315.9403309, 306.8757997, 300.1471481
e07, 305.9059087, 320.6839672, 305.4738074, 302.469034, 305.2570485
e08, 300.0175123, 308.9153928, 300.5198165, 300.0195214, 313.5887051
e09, 300.0119326, 300.0037039, 300.2749527, 300.4462364, 300.4530863
e10, 300.2424059, 300.3231738, 300.8410226, 315.1816258, 300.101917
e11, 324.7229869, 339.1219167, 309.4820519, 307.587008, 339.0036736
e12, 304.4342814, 320.8845725, 308.9304813, 322.2463499, 325.7420258
e13, 323.1352976, 337.2811664, 300.2677881, 300.0039869, 300.0136568
e14, 314.5860206, 300.0095535, 300.0044291, 300.0038696, 309.5353005
e15, 311.1572338, 300.5463892, 317.4880756, 301.5170912, 300.7895021
e16, 311.9114017, 329.0463675, 314.9440756, 364.7462917, 381.2850024
e17, 331.3160589, 306.7405475, 301.4034405, 342.3326283, 330.1022199
e18, 469.794876, 312.3048142, 449.6474061, 319.2793297, 306.6093135
e19, 409.5077738, 322.9565992, 383.355287, 300.0154486, 300.012829
e20, 310.4107173, 300.1086054, 312.3612753, 300.0356934, 303.9686737
lin01, 0.1987952, 0.1811898, 0.1907921, 0.1686407, 0.1358746
lin02, 0.3079508, 0.2559073, 0.2938794, 0.2540255, 0.2343088
lin03, 0.4493523, 0.3245958, 0.2655898, 0.2902016, 0.2430275
lin04, 2.4289378, 2.8120241, 2.8024044, 2.3447186, 2.5740876
lin05, 4.0540461, 3.8284867, 4.1172698, 3.2750001, 2.905232
lin06, 4.8826653, 3.9515556, 5.052059, 3.9209972, 4.4201373
lin07, 13.1504753, 13.7224696, 11.6843816, 13.453536, 14.6829578
lin08, 15.5345996, 15.3469096, 14.4672222, 16.2648169, 15.5542415
lin09, 14.9293533, 15.2281774, 14.661087, 13.4322456, 15.6984875
lin10, 34.9228511, 25.8275789, 27.7340669, 30.7181752, 26.6109496
lin11, 186.697686, 175.4735734, 184.7861597, 161.4201363, 179.2690193
lin12, 151.4956471, 157.403136, 156.1883858, 147.6202206, 149.4801556
lin13, 194.9667101, 263.2665572, 204.863616, 172.8283256, 158.246932
lin14, 300.3573902, 243.9674276, 210.9612893, 280.2312401, 211.1076604
lin15, 296.5735784, 233.8380084, 271.2761105, 191.1312531, 221.915773
lin16, 301.9840441, 301.5054679, 307.4288471, 326.1919185, 317.084292
lin17, 304.3989457, 303.7180833, 310.7823078, 314.8596472, 326.2111437
lin18, 304.212821, 300.762088301, 302.786649099, 309.0593143, 305.7856815
lin19, 309.953284501, 301.492576899, 305.2350396, 300.0525164, 300.288067301
lin20, 432.7055715, 398.4983484, 390.000020701, 431.1952266, 389.4451169
lin21, 395.7178225, 395.731674999, 394.238056399, 395.473082301, 393.1699288
lin22, 447.5617087, 446.7940261, 453.5188467, 448.8810626, 446.12341
lin23, 421.788964701, 418.3007273, 417.7116379, 416.8984979, 419.9502559
weight
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
b01, 82.0, 82.0, 82.0, 82.0, 82.0
b02, 83.0, 83.0, 83.0, 83.0, 83.0
b03, 138.0, 138.0, 138.0, 138.0, 138.0
b04, 59.0, 59.0, 59.0, 59.0, 59.0
b05, 61.0, 61.0, 61.0, 61.0, 61.0
b06, 122.0, 122.0, 122.0, 122.0, 122.0
b07, 111.0, 111.0, 111.0, 111.0, 111.0
b08, 104.0, 104.0, 104.0, 104.0, 104.0
b09, 220.0, 220.0, 220.0, 220.0, 220.0
b10, 86.0, 86.0, 86.0, 86.0, 86.0
b11, 88.0, 90.0, 88.0, 90.0, 90.0
b12, 174.0, 174.0, 174.0, 174.0, 174.0
b13, 165.0, 165.0, 165.0, 165.0, 165.0
b14, 235.0, 237.0, 235.0, 237.0, 237.0
b15, 318.0, 318.0, 318.0, 318.0, 318.0
b16, 127.0, 127.0, 127.0, 127.0, 127.0
b17, 131.0, 131.0, 131.0, 131.0, 131.0
b18, 218.0, 218.0, 218.0, 218.0, 218.0
c01, 85.0, 85.0, 85.0, 85.0, 85.0
c02, 144.0, 144.0, 144.0, 144.0, 144.0
c03, 754.0, 759.0, 754.0, 759.0, 754.0
c04, 1080.0, 1083.0, 1079.0, 1084.0, 1084.0
